ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
59004,Кофе Bushido Red Katana молотый,https://online.metro-cc.ru/products/art_59004,509,669,BUSHIDO
528357,Кофе Egoiste Platinum,https://online.metro-cc.ru/products/egoiste-platinum-100-g,799,739,EGOISTE
598959,Кофе Egoiste Noir растворимый сублимированный,https://online.metro-cc.ru/products/egoiste-sublimirovannyj-noir-100g,469,469,EGOISTE
223100,Кофе в капсулах Absolut Drive Cappuccino with milk для кофемашин Dolce Gusto 16шт,https://online.metro-cc.ru/products/8shth6g8shth17g-kofe-absolut-kapuchino-kapsuly-dg,359,399,ABSOLUT
495117,Кофе Nescafe Gold Barista растворимый,https://online.metro-cc.ru/products/nescafe-gold-v-rastvorimom-barista-85g,279,279,NESCAFE
230306,Кофе Monarch Milligrano растворимый с молотым,https://online.metro-cc.ru/products/kofe-monarch-milligrano-rastvorimyy-s-molotym-200g,449,449,MONARCH
44438,Кофе Origo Imperial Wiener Mischung в зернах,https://online.metro-cc.ru/products/art_44438,2 779,2 649,ORIGO
101497,Кофе Jardin Eclair в зернах,https://online.metro-cc.ru/products/jardin-eclair-1000g,1 399,1 329,JARDIN
104611,Кофе Julius Meinl Президент классическая коллекция в зернах,https://online.metro-cc.ru/products/julius-meinl-president-250g,409,419,JULIUS MEINL
230305,Кофе Monarch Original растворимый,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-270g,899,1 099,MONARCH
581769,Кофе Jacobs Monarch Классический в зернах,https://online.metro-cc.ru/products/jacobs-monarch-klassicheskij-v-zernah-800-g,989,989,JACOBS
260443,Кофе Carte Noire Instinct растворимый,https://online.metro-cc.ru/products/art_260443,449,439,CARTE NOIRE
530964,RIOBA Кофе в капсулах Decaffeinato без кофеина для кофемашин Nespresso 11шт,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-decaffein-11x5g,299,284,RIOBA
609222,RIOBA Кофе Espresso Decaffeeinated в зернах без кофеина,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-espresso-decaffeeinated-500g,819,779,RIOBA
531031,Кофе Alta Roma Intenso в зернах,https://online.metro-cc.ru/products/kofe-alta-roma-intenso-v-zernakh-1kg,1 249,1 199,ALTA ROMA
76039,Кофе в капсулах Jacobs Espresso №7 Classico для кофемашин Nespresso 10шт,https://online.metro-cc.ru/products/jacobs-espresso-7-classico-10sht,279,279,JACOBS
636528,Кофе Egoiste Velvet молотый,https://online.metro-cc.ru/products/egoiste-velvet-200g,449,449,EGOISTE
107074,Кофе Carraro Primo Mattino в зернах,https://online.metro-cc.ru/products/v-zernah-carraro-primo-mattino-1-kg,1 669,1 589,CARRARO
122285,Кофе в капсулах Lavazza Qualita Oro для кофемашин Nespresso 10шт,https://online.metro-cc.ru/products/10h55g-lavazza-qualita-oro,559,529,LAVAZZA
208701,Кофе Lavazza Expert Gusto Forte в зернах,https://online.metro-cc.ru/products/1kg-kofe-lavazza-expert-gusto-forte-v-zernah,1 809,1 599,LAVAZZA
624869,Кофе Origo Cafe Crema в зернах,https://online.metro-cc.ru/products/art_624869,1 959,1 859,ORIGO
119137,Кофе в капсулах Jardin Vivo Mild&Fruity для кофемашин Nespresso 10шт,https://online.metro-cc.ru/products/10h5g-jardin-vivo,279,279,JARDIN
624874,Кофе Origo Grande Barista в зернах,https://online.metro-cc.ru/products/art_624874,2 499,2 399,ORIGO
666412,Кофе Carte Noire Privilege сублимированный,https://online.metro-cc.ru/products/carte-noire-privilege-sublimirovannyj-95-g,449,439,CARTE NOIRE
107073,Кофе Carraro Crema Italiano в зернах,https://online.metro-cc.ru/products/v-zernah-caffe-carraro-crema-italiano-1-kg,1 769,1 679,CARRARO
123862,Кофе Kimbo Caffe Crema Dolce Medium в зернах,https://online.metro-cc.ru/products/1kg-kimbo-caffe-crema-dolce-medium,2 339,2 219,KIMBO
99542,Кофе Nescafe Gold Aroma Intenso растворимый,https://online.metro-cc.ru/products/kofe-nescafe-gold-aroma-intens-rastvorimyj-poroshkoobraznyj-85-g,239,219,NESCAFE
448263,Кофе Jacobs Millicano молотый в растворимом,https://online.metro-cc.ru/products/jacobs-monarch-molotyj-millicano-75g,229,229,JACOBS
75654,Кофе Carte Noire Original растворимый сублимированный,https://online.metro-cc.ru/products/carte-noire-sublimirovannyj-original-190g,979,979,CARTE NOIRE
223097,Кофе в капсулах Absolut Drive Espresso Original для кофемашин Dolce Gusto16шт,https://online.metro-cc.ru/products/16shth6g-kofe-absolut-espresso-kapsuly-dg,359,399,ABSOLUT
223118,Кофе в капсулах Absolut Drive Latte Macchiato with caramel для кофемашин Dolce Gusto 16шт,https://online.metro-cc.ru/products/8shth6g8shth15g-kofe-absolut-latte-karamel-kapsuly-dg,359,399,ABSOLUT
119138,Кофе в капсулах Jardin Andante Strong&Velvet для кофемашин Nespresso 10шт,https://online.metro-cc.ru/products/10h5g-jardin-andante,279,279,JARDIN
636529,Кофе Egoiste Velvet в зернах,https://online.metro-cc.ru/products/egoiste-velvet-200-g,449,449,EGOISTE
530967,RIOBA Кофе в капсулах Forte для кофемашин Nespresso 11шт,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-forte-11x5g,299,284,RIOBA
553579,Кофе Egoiste Espresso натуральный молотый жареный,https://online.metro-cc.ru/products/art_553579,489,439,EGOISTE
224846,Кофе MacCoffee Capuccino Di torino растворимый (25.5г x 20шт),https://online.metro-cc.ru/products/20shtx255g-kofe-maccoffee-cappuccino-di-torino-rastv,399,439,MACCOFFEE
